Id|Title|Problem Statement|Team Mgmt Received Date|Executive Summary|Status|Process Step|Resolution Group|Primary Council POC - Name|Secondary Resolution Group|Secondary Council POC - Name|Reporting Organization|Facility|Submitter - Name|Ticket Numbers|Notes/Updates|Source|Scope of Impact|Intake POC - Name|Desired Outcome|The Ask|Team Mgmt POC|Modified|ID Plus Title|PIT - # of Days till Next Update|Risk Score|SME POCs
205|Document training roster exception before closure|The submitter described a gap in training roster exception. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Duplicate/Related To; the listed owner context is the assigned team.|2023-07-06|Captures the current state of a training roster exception review.|Duplicate/Related To||||||||James, Felix Q.||2023-07-12 - Reviewed potential impact and kept the item visible because the scope may affect more than one workflow.; 2023-07-17 - Updated after checking prior notes.; 2023-08-05 - Risk appears manageable with current follow-up.|Region 40|||Reduced duplicate follow-up for training roster exception, with a clear owner and next step before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this training roster exception record.|Wood, Noah|2024-02-13 06:37:43|205 - Document training roster exception before closure|No Date||James, Felix Q.;Jenkins, Felix D.
206|Align reconciliation mismatch review for unique to report facility|The issue came in because the team could not confirm the expected path for reconciliation mismatch review. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Pending Closure; the listed owner context is Solution Expert.|2023-09-02|Reconciliation mismatch review could be tracked through intake and follow-up. The status is Pending Closure, and the record should not imply work beyond the documented scope.|Pending Closure||Solution Expert|Foster, Bianca Q.|Training|Fisher, Quinn|||Jenkins, Julia||2023-09-09: Requested an updated response from the responsible group before the next review. Next note should include either a decision or a blocker.|Readiness Assessment|Unique to report facility|Edwards, Uma||Clarify the expected response, document the next action, and validate the current process step for this reconciliation mismatch review record. Include Training if their input is needed for the final response.||2023-12-05 08:54:35|206 - Align reconciliation mismatch review for unique to report facility|Overdue||Solution Expert;Johnson, Julia E.
208|Clarify app item tied to documentation acceptance criteria|The item reflects uncertainty around documentation acceptance criteria. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Deleted/Error; the listed owner context is the assigned team.|2023-05-14|This issue involves documentation acceptance criteria. The current source value is App, which should be considered when interpreting the request.|Deleted/Error||||||||Johnson, Nadia S.||2023-05-22 - Confirmed the issue should be tracked with the current reporting entity pending more detail.; 2023-05-29 - Regional follow-up remains pending.|App|Multiple Regions|Perez, Olivia Z.|A record that can be reviewed without extra context for documentation acceptance criteria, with a documented interpretation for the affected team before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this documentation acceptance criteria record.|Thompson, Hannah|2023-06-07 11:14:18|208 - Clarify app item tied to documentation acceptance criteria|Overdue|1242|Kelly, Nadia
209|Confirm user access routing with the assigned team|A recurring question about user access routing created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Closed; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-10-10|Tracks a user access routing concern with status Closed. The assigned context is North Valley Medical Center, and the notes should stay aligned to that scope.|Closed||||||Region 30|North Valley Medical Center|Kelly, Rafael T.|TRN-10209;HR10226||Region 50|Unique to report facility|Carter, Logan|A clean closure path for user access routing, with a reusable decision note before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this user access routing record.|Scott, Omar N.|2023-07-28 05:00:29|209 - Confirm user access routing with the assigned team|No Date||King, Rafael G.
210|Investigate regional reporting package before next review|The submitter described a gap in regional reporting package. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Duplicate/Related To; the listed owner context is Dentistry.|2023-04-16|Summarizes regional reporting package for the affected team. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Duplicate/Related To||Dentistry|Williams, Uma Q.|||||King, Uma||2023-04-26 - Reviewed intake details and confirmed the issue is still aligned to the current owner. Added for reporting clarity.; 2023-05-05 - No change to status after review.|Sprint List;Region 40||||Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this regional reporting package record.|Jackson, Julia F.|2024-06-14 17:48:49|210 - Investigate regional reporting package before next review|No Date||King, Uma;Dentistry;Lee, Uma H.
212|Update mixed-source intake rule for North Valley Medical Center|The issue came in because the team could not confirm the expected path for mixed-source intake rule. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Deleted/Error; the listed owner context is Cross Council. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-05-06|This record summarizes mixed-source intake rule, current status, and ownership. The row should remain consistent with the related lookup and history files.|Deleted/Error|Pending Pre-Closure|Cross Council||Council Ops|Bennett, Renee R.|Region 30|North Valley Medical Center|Lee, Alicia W.|OPS-10212|2024-05-17 - Confirmed coordination path with the listed group and noted the expected follow-up. Related ticket OPS-10212 remains the supporting reference.; 2024-05-27 - Updated after comparing the request to the current workflow step.; 2024-06-01 - Waiting on the assigned group to confirm timing.|External Intake Channel;App|All facilities with impacted service|Price, Zane M.|Consistent handling for similar requests for mixed-source intake rule, with a practical update that supports leadership reporting before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this mixed-source intake rule record.|Ward, Wendy Y.|2024-05-23 21:54:52|212 - Update mixed-source intake rule for North Valley Medical Center|Overdue|1089|Cross Council;Lewis, Alicia
213|Review external intake channel item tied to quality response follow-up|The item reflects uncertainty around quality response follow-up. The next update should separate the operational question from any related ticket activity. Current status is Pending Closure; the listed owner context is Supply Chain Management. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-01-24|Captures the current state of a quality response follow-up review.|Pending Closure||Supply Chain Management||Rehab & Acute Clinical Ancillaries|Russell, Tara T.|Region 50|Westlake Medical Center|Lewis, Caleb X.|ICT10213;CASE-10230;REQ10247|2023-02-05: Reviewed available details and found no additional data source needed at this time. Summary should be refreshed if new source details are added. Related ticket ICT10213 remains the supporting reference.|External Intake Channel;Sprint List;Region 40|||A documented interpretation for the affected team for quality response follow-up, with a record that can be reviewed without extra context before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this quality response follow-up record.|Robinson, Bianca|2024-06-21 19:50:35|213 - Review external intake channel item tied to quality response follow-up|Overdue||Supply Chain Management;Long, Caleb K.
214|Validate ticket escalation path with the assigned team|A recurring question about ticket escalation path created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Pending Closure; the listed owner context is the assigned team.|2023-10-28|Ticket escalation path could be tracked through intake and follow-up. The status is Pending Closure, and the record should not imply work beyond the documented scope.|Pending Closure|||King, Priya A.|||||Long, Erica||2023-11-10 - Manager review completed, record should stay visible until the next action is documented.; 2023-11-22 - Keep visible for the next leadership review cycle.|App;Region 50;Region 40||Nelson, Jordan M.|A reusable decision note for ticket escalation path, with a clean closure path before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this ticket escalation path record.|Thompson, Hannah|2024-01-24 04:03:48|214 - Validate ticket escalation path with the assigned team|No Date|719|Martin, Erica L.
215|Prepare owner assignment decision before closure|The submitter described a gap in owner assignment decision. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Pending Closure; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-08-29|This issue involves owner assignment decision. The current source value is Region 30, which should be considered when interpreting the request.|Pending Closure||||||||Martin, Jordan Z.|REQ10215|2022-08-29: Reviewed the linked ticket trail and confirmed the record still needs local context. Referenced REQ10215 during review.; 2022-09-11: Updated after comparing the request to the current workflow step. Ticket activity and issue status are currently aligned.|Region 30;Readiness Assessment|||Reduced duplicate follow-up for owner assignment decision, with a clear owner and next step before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this owner assignment decision record.|James, Nadia G.|2024-03-23 19:39:39|215 - Prepare owner assignment decision before closure|No Date||Martin, Jordan Z.;Martinez, Jordan
216|Resolve manual workaround review for unique to report facility|The issue came in because the team could not confirm the expected path for manual workaround review. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Pending Closure; the listed owner context is the assigned team.|2022-08-01|Tracks a manual workaround review concern with status Pending Closure. The assigned context is unique to report facility, and the notes should stay aligned to that scope.|Pending Closure|||Ross, Robin Z.|||||Martinez, Maya A.||2022-08-02 - Clarified transfer expectations and documented the group expected to respond next. Added for reporting clarity.; 2022-08-16 - Handoff is ready once the next owner confirms acceptance.|App|Unique to report facility|Robinson, Logan R.|A practical update that supports leadership reporting for manual workaround review, with consistent handling for similar requests before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this manual workaround review record.|Sanchez, Lena|2023-09-23 07:33:26|216 - Resolve manual workaround review for unique to report facility|No Date|256|Mitchell, Maya N.
217|Document enterprise item tied to report definition question|The item reflects uncertainty around report definition question. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Duplicate/Related To; the listed owner context is Research. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-10-19|Summarizes report definition question for Harbor Point Clinic. The current process step is Pending Implementation, so the next update should focus on the remaining decision point.|Duplicate/Related To|Pending Implementation|Research||Dentistry|Nelson, Jordan M.|Region 30|Harbor Point Clinic|Mitchell, Quinn|SRV10217|2022-10-21 - Need confirmation on whether this should continue as active work or move to monitoring. Related ticket SRV10217 remains the supporting reference.; 2022-11-05 - Updated after checking prior notes.; 2022-11-15 - Hold for response before changing the status.|Enterprise||Rivera, Priya X.||Update the record with the decision, note what evidence is still missing, and identify any blocker for this report definition question record. Include Dentistry if their input is needed for the final response.|Bryant, Tara C.|2024-06-24 11:12:52|217 - Document enterprise item tied to report definition question|Overdue||Research;Morgan, Quinn P.
219|Align pre-closure validation with the assigned team|A recurring question about pre-closure validation created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Intake; the listed owner context is the assigned team.|2024-03-16|This record summarizes pre-closure validation, current status, and ownership. The row should remain consistent with the related lookup and history files.|Intake|Active Plan Development||White, Rafael P.|||||Morgan, Tina C.||2024-03-19: Record appears close to closure, but final validation is still pending. Closure can proceed once final evidence is added.|Readiness Assessment;Region 30||Howard, Noah L.|A clean closure path for pre-closure validation, with a reusable decision note before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this pre-closure validation record.|Flores, Olivia|2024-07-12 21:10:42|219 - Align pre-closure validation with the assigned team|Overdue||Morris, Tina
220|Clarify referral queue ownership before next review|The submitter described a gap in referral queue ownership. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Active Management; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-07-12|Captures the current state of a referral queue ownership review.|Active Management||||||||Morris, Alex D.|PRJ10220;QA-10237|2024-07-16 - Reviewed potential impact and kept the item visible because the scope may affect more than one workflow. PRJ10220 was used as the ticket reference for this update.; 2024-07-31 - Reassess if scope expands.|App|||A clear owner and next step for referral queue ownership, with reduced duplicate follow-up before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this referral queue ownership record.||2024-07-27 05:47:11|220 - Clarify referral queue ownership before next review|Overdue|636|Morris, Alex D.;Murphy, Alex R.
221|Confirm access metric explanation for Harbor Point Clinic|The issue came in because the team could not confirm the expected path for access metric explanation. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Active Management; the listed owner context is the assigned team.|2023-06-13|Access metric explanation could be tracked through intake and follow-up. The status is Active Management, and the record should not imply work beyond the documented scope.|Active Management||||||Region 30|Harbor Point Clinic|Murphy, Brianna||2023-06-18: Follow-up entered after no additional detail was found in the prior update.; 2023-07-06: Added for reporting clarity. Response requested before the next reporting pull.|Mailbox;Region 50|||Consistent handling for similar requests for access metric explanation, with a practical update that supports leadership reporting before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this access metric explanation record.|Jenkins, Rafael|2024-03-27 05:43:15|221 - Confirm access metric explanation for Harbor Point Clinic|Overdue||Nelson, Brianna S.
222|Investigate readiness assessment item tied to inventory status visibility|The item reflects uncertainty around inventory status visibility. The next update should separate the operational question from any related ticket activity. Current status is Active Management; the listed owner context is the assigned team.|2024-06-28|This issue involves inventory status visibility. The current source value is Readiness Assessment, which should be considered when interpreting the request.|Active Management|||Wood, Caleb S.|||||Nelson, Elliot F.||2024-07-04 - Confirmed the issue should be tracked with the current reporting entity pending more detail. Noted for follow-up during the next review cycle.; 2024-07-23 - No broader regional impact confirmed yet.|Readiness Assessment||Wilson, Wendy K.|A documented interpretation for the affected team for inventory status visibility, with a record that can be reviewed without extra context before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this inventory status visibility record.|Edwards, Dana|2024-07-28 20:54:22|222 - Investigate readiness assessment item tied to inventory status visibility|Overdue||Nguyen, Elliot
223|Update cross-team handoff note with Nursing|A recurring question about cross-team handoff note created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Issue Engagement; the listed owner context is Nursing.|2024-05-03|Tracks a cross-team handoff note concern with status Issue Engagement. The assigned context is the affected team, and the notes should stay aligned to that scope.|Issue Engagement|Coordinating with System Integration Office|Nursing||Rehab & Acute Clinical Ancillaries||||Nguyen, Jamal G.||2024-05-10 - Reviewed platform-related context and noted where process clarification is still needed.; 2024-05-30 - Added context from the latest review.; 2024-06-14 - Business process review remains the next action.|App||Edwards, Uma|A reusable decision note for cross-team handoff note, with a clean closure path before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this cross-team handoff note record.|Henderson, Victor|2024-05-17 11:56:40|223 - Update cross-team handoff note with Nursing|No Date|547|Nursing;Parker, Jamal V.
224|Review documentation acceptance criteria before closure|The submitter described a gap in documentation acceptance criteria. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Pending Closure; the listed owner context is the assigned team.|2024-04-18|Summarizes documentation acceptance criteria for the affected team. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Pending Closure|||Carter, Jamal C.|||||Parker, Marcus||2024-04-26: Updated the record after reviewing the current summary and assigned group. Record remains aligned to the current status.|App;Region 50||Garcia, Maya S.|Reduced duplicate follow-up for documentation acceptance criteria, with a clear owner and next step before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this documentation acceptance criteria record.|Sanchez, Lena|2024-05-08 18:47:41|224 - Review documentation acceptance criteria before closure|No Date|435|Parker, Marcus;Perez, Marcus W.
225|Validate user access routing for Lakeside Care Campus|The issue came in because the team could not confirm the expected path for user access routing. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Duplicate/Related To; the listed owner context is the assigned team.|2022-09-03|This record summarizes user access routing, current status, and ownership. The row should remain consistent with the related lookup and history files.|Duplicate/Related To||||||Region 30|Lakeside Care Campus|Perez, Priya J.||2022-09-12 - Discussed the item with the coordinating team and captured the next handoff point.; 2022-10-04 - Responsible group will provide the next update.|App|All Facilities/All Regions|Davis, Caleb C.|A practical update that supports leadership reporting for user access routing, with consistent handling for similar requests before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this user access routing record.||2024-02-02 12:14:27|225 - Validate user access routing for Lakeside Care Campus|Overdue|1801|Peterson, Priya
226|Prepare app item tied to regional reporting package|The item reflects uncertainty around regional reporting package. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Deleted/Error; the listed owner context is Laboratory. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-11-17|Captures the current state of a regional reporting package review.|Deleted/Error||Laboratory||||||Peterson, Theo K.|ICT10226;CASE-10243;REQ10260|2022-11-27: Checked the issue description against the current status and noted no conflicting information. Checked ICT10226 and kept it linked to this issue.; 2022-12-20: Updated after checking prior notes. Summary should be refreshed if new source details are added.|App;Mailbox;Sprint List||Flores, Tina H.|A record that can be reviewed without extra context for regional reporting package, with a documented interpretation for the affected team before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this regional reporting package record.|Green, Grace X.|2024-01-11 07:02:19|226 - Prepare app item tied to regional reporting package|Overdue|554|Laboratory;Phillips, Theo Y.
227|Resolve dashboard timing concern with the assigned team|A recurring question about dashboard timing concern created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Pending Closure; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-06-30|Dashboard timing concern could be tracked through intake and follow-up. The status is Pending Closure, and the record should not imply work beyond the documented scope.|Pending Closure||||||Region 50|Redwood Health Center|Phillips, Zane|CASE-10227|2024-07-11 - Leadership review requested a clearer decision point before the item advances. Updated after comparing the request to the current workflow step. CASE-10227 was used as the ticket reference for this update.; 2024-07-31 - Escalation is not needed unless the next update is missed.|Region 40||Peterson, Alex|A clean closure path for dashboard timing concern, with a reusable decision note before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this dashboard timing concern record.||2024-07-10 21:49:37|227 - Resolve dashboard timing concern with the assigned team|Overdue||Powell, Zane Z.
228|Document coverage question review before next review|The submitter described a gap in coverage question review. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Deleted/Error; the listed owner context is the assigned team.|2023-02-06|This issue involves coverage question review. The current source value is Region 40, which should be considered when interpreting the request.|Deleted/Error|||Bennett, Tina|||||Powell, Blake M.||2023-02-18 - Reviewed the linked ticket trail and confirmed the record still needs local context.; 2023-03-15 - Updated after checking prior notes.; 2023-04-04 - No new ticket needed based on the current note.|Region 40|All Facilities/All Regions|Martinez, Erica Z.||Update the record with the decision, note what evidence is still missing, and identify any blocker for this coverage question review record.||2023-11-10 03:19:32|228 - Document coverage question review before next review|Overdue||Powell, Blake M.;Price, Blake
229|Align readiness checklist exception for the affected team|The issue came in because the team could not confirm the expected path for readiness checklist exception. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Deleted/Error; the listed owner context is the assigned team.|2024-07-10|Tracks a readiness checklist exception concern with status Deleted/Error. The assigned context is the affected team, and the notes should stay aligned to that scope.|Deleted/Error|Pending Pre-Closure|||||||Price, Diana N.||2024-07-23: Clarified transfer expectations and documented the group expected to respond next. Receiving group should acknowledge before the item moves again.|Region 30;Region 40||Evans, Maya F.|Consistent handling for similar requests for readiness checklist exception, with a practical update that supports leadership reporting before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this readiness checklist exception record.||2024-07-19 21:41:24|229 - Align readiness checklist exception for the affected team|Overdue||Reed, Diana B.
230|Clarify app item tied to source extract timing|The item reflects uncertainty around source extract timing. The next update should separate the operational question from any related ticket activity. Current status is Monitored; the listed owner context is Prosthetics & Sensory Aid Services. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-10-14|Summarizes source extract timing for Westlake Medical Center. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Monitored||Prosthetics & Sensory Aid Services||Health Technology Management||Region 50|Westlake Medical Center|Reed, Iris|SRV10230|2022-10-14 - Additional clarification requested before the issue can be moved forward. Referenced SRV10230 during review.; 2022-11-10 - Answer is needed before the next process step can be confirmed.|App|Unique to report facility|Harris, Theo Q.||Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this source extract timing record. Include Health Technology Management if their input is needed for the final response.||2024-06-16 09:56:21|230 - Clarify app item tied to source extract timing|Overdue|329|Prosthetics & Sensory Aid Services;Rivera, Iris C.
231|Confirm rollout exception note with Dentistry|A recurring question about rollout exception note created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Issue Engagement; the listed owner context is Dentistry.|2022-05-16|This record summarizes rollout exception note, current status, and ownership. The row should remain consistent with the related lookup and history files.|Issue Engagement|Pending Acceptance|Dentistry|Foster, Bianca Q.|||||Rivera, Logan Q.||2022-05-17: Reviewed for possible closure, one supporting detail is still needed before closing.; 2022-06-14: Documented based on current owner feedback. Closure can proceed once final evidence is added.|External Intake Channel||Stewart, Ian Y.|A reusable decision note for rollout exception note, with a clean closure path before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this rollout exception note record.||2022-12-10 14:00:01|231 - Confirm rollout exception note with Dentistry|Overdue||Dentistry;Roberts, Logan
232|Investigate stakeholder update gap before closure|The submitter described a gap in stakeholder update gap. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Closed; the listed owner context is the assigned team.|2024-02-19|Captures the current state of a stakeholder update gap review.|Closed|Coordinating with System Integration Office||Morgan, Paige H.|||||Roberts, Paige R.||2024-02-21 - Reviewed potential impact and kept the item visible because the scope may affect more than one workflow. Updated after checking prior notes.; 2024-03-21 - Continue monitoring for broader impact.|App;Sprint List|||Reduced duplicate follow-up for stakeholder update gap, with a clear owner and next step before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this stakeholder update gap record.||2024-07-06 18:32:36|232 - Investigate stakeholder update gap before closure|Overdue|625|Roberts, Paige R.;Robinson, Paige E.
233|Update priority review request for Silver Mesa Clinic|The issue came in because the team could not confirm the expected path for priority review request. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Monitored; the listed owner context is the assigned team.|2023-10-17|Priority review request could be tracked through intake and follow-up. The status is Monitored, and the record should not imply work beyond the documented scope.|Monitored|||Baker, Quinn X.|||Region 50|Silver Mesa Clinic|Robinson, Tara||2023-10-20 - Requested an updated response from the responsible group before the next review.; 2023-11-19 - Updated after checking prior notes.; 2023-11-25 - Follow-up owner should update the record before the next cycle.|Region 40||Rivera, Diana|A practical update that supports leadership reporting for priority review request, with consistent handling for similar requests before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this priority review request record.|White, Jamal R.|2024-04-02 15:03:43|233 - Update priority review request for Silver Mesa Clinic|No Date||Ross, Tara F.
234|Review external intake channel item tied to pre-closure validation|The item reflects uncertainty around pre-closure validation. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Duplicate/Related To; the listed owner context is the assigned team.|2024-04-19|This issue involves pre-closure validation. The current source value is External Intake Channel, which should be considered when interpreting the request.|Duplicate/Related To|Initial Review||Jenkins, Elliot X.|||Region 30|Lakeside Care Campus|Ross, Yara T.||2024-04-23: Checked whether the issue is limited to the reporting entity or broader in scope. Scope should be revisited if another region reports the same concern.|External Intake Channel|All facilities with impacted service||A record that can be reviewed without extra context for pre-closure validation, with a documented interpretation for the affected team before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this pre-closure validation record.|Foster, Robin S.|2024-07-23 08:06:43|234 - Review external intake channel item tied to pre-closure validation|Overdue||Russell, Yara
235|Validate referral queue ownership with Health Professions Trainees|A recurring question about referral queue ownership created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Intake; the listed owner context is Health Professions Trainees.|2024-02-17|Tracks a referral queue ownership concern with status Intake. The assigned context is Redwood Health Center, and the notes should stay aligned to that scope.|Intake|Pending Implementation|Health Professions Trainees|Campbell, Elliot|||Region 50|Redwood Health Center|Russell, Bianca V.||2024-02-22 - System-related details checked, next step is to confirm business ownership.; 2024-03-25 - No platform change recommended from this review alone.|App;Region 30||Hall, Priya P.||Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this referral queue ownership record.|Williams, Marcus S.|2024-06-04 13:55:44|235 - Validate referral queue ownership with Health Professions Trainees|Overdue|653|Health Professions Trainees;Sanchez, Bianca H.
236|Prepare access metric explanation before next review|The submitter described a gap in access metric explanation. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Monitored; the listed owner context is the assigned team.|2024-07-04|Summarizes access metric explanation for the affected team. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Monitored|||Ward, Julia M.|||||Sanchez, Darius||2024-07-10: Updated the record after reviewing the current summary and assigned group.; 2024-07-31: Added for reporting clarity. Next update should confirm whether the action is complete.|Region 30;Readiness Assessment||Roberts, Iris Q.||Identify any blocker, confirm the scope of impact, and clarify the expected response for this access metric explanation record.|Martinez, Tina R.|2024-07-15 08:06:29|236 - Prepare access metric explanation before next review|No Date||Sanchez, Darius;Scott, Darius J.
237|Resolve inventory status visibility for all facilities with impacted service|The issue came in because the team could not confirm the expected path for inventory status visibility. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Intake; the listed owner context is Dentistry. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-09-17|This record summarizes inventory status visibility, current status, and ownership. The row should remain consistent with the related lookup and history files.|Intake||Dentistry||Health Technology Management|Hall, Priya P.|||Scott, Ian X.|OPS-10237|2022-09-24 - Discussed the item with the coordinating team and captured the next handoff point. Updated after comparing the request to the current workflow step. Checked OPS-10237 and kept it linked to this issue.; 2022-09-27 - Waiting on the assigned group to confirm timing.|Sprint List;App|All facilities with impacted service|Diaz, Rafael L.|Consistent handling for similar requests for inventory status visibility, with a practical update that supports leadership reporting before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this inventory status visibility record.|James, Nadia G.|2023-03-10 08:43:47|237 - Resolve inventory status visibility for all facilities with impacted service|Overdue|844|Dentistry;Smith, Ian
238|Document sprint list item tied to cross-team handoff note|The item reflects uncertainty around cross-team handoff note. The next update should separate the operational question from any related ticket activity. Current status is Deleted/Error; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-01-05|Captures the current state of a cross-team handoff note review.|Deleted/Error|Pending Pre-Closure|||||Region 40|Grand Avenue Care Campus|Smith, Lena Y.|ICT10238;CASE-10255|2024-01-13 - Compared the narrative, source information, and scope details for consistency. Checked ICT10238 and kept it linked to this issue.; 2024-01-17 - Added context from the latest review.; 2024-01-28 - Current narrative supports the selected scope.|Sprint List|All Facilities/All Regions|Peterson, Robin A.||Update the record with the decision, note what evidence is still missing, and identify any blocker for this cross-team handoff note record.||2024-03-20 10:58:12|238 - Document sprint list item tied to cross-team handoff note|No Date||Stewart, Lena L.
239|Align documentation acceptance criteria with Behavioral Health|A recurring question about documentation acceptance criteria created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Monitored; the listed owner context is Behavioral Health. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-06-29|Documentation acceptance criteria could be tracked through intake and follow-up. The status is Monitored, and the record should not imply work beyond the documented scope.|Monitored|Pending Pre-Closure|Behavioral Health||Business Operations|Flores, Lena G.|||Stewart, Omar|CASE-10239|2024-07-08: Leadership review requested a clearer decision point before the item advances. Keep visible for the next leadership review cycle. Related ticket CASE-10239 remains the supporting reference.|Region 50||Robinson, Zane Z.|A reusable decision note for documentation acceptance criteria, with a clean closure path before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this documentation acceptance criteria record. Include Business Operations if their input is needed for the final response.|Morgan, Brianna T.|2024-07-11 00:41:37|239 - Align documentation acceptance criteria with Behavioral Health|Overdue||Behavioral Health;Taylor, Omar M.
240|Clarify user access routing before closure|The submitter described a gap in user access routing. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Deleted/Error; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-01-02|This issue involves user access routing. The current source value is App, which should be considered when interpreting the request.|Deleted/Error|||Bennett, Tina|||||Taylor, Sofia A.|REQ10240|2024-01-12 - Reviewed the linked ticket trail and confirmed the record still needs local context. Related ticket REQ10240 remains the supporting reference.; 2024-01-18 - Ticket reference should remain linked until the record is closed.|App|||Reduced duplicate follow-up for user access routing, with a clear owner and next step before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this user access routing record.|Brooks, Paige B.|2024-05-03 10:40:09|240 - Clarify user access routing before closure|No Date|559|Taylor, Sofia A.;Thomas, Sofia
